,review,label
0,đóng gói sản phẩm kém đế giày không chắc chắn không đáng tiền giày bị móp,1
1,dong goi san pham kem de giay khong chac chan khong dang tien giay bi mop,1
2,đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ chất lượng sản phẩm tuyệt vời,0
3,dong goi san pham rat dep va chac chan cua hang phuc vu chat luong san pham tuyet voi,0
4,hàng nhái thì giá nhái chứ đừng nói khuyến mãi thì tốt hơn bạn ạ như thế khác gì lừa khách hàng đâu nên làm ăn uy tín sendo để thế này sẽ không khác nào đẩy khách một đi không trở lại,1
5,hang nhai thi gia nhai chu dung noi khuyen mai thi tot hon ban a nhu the khac gi lua khach hang dau nen lam an uy tin sendo de the nay se khong khac nao day khach mot di khong tro lai,1
6,võ ngoài bị lõm chắc do quá trình vận chuyển,1
7,vo ngoai bi lom chac do qua trinh van chuyen,1
8,kim bị rớt chất lượng kém,1
9,kim bi rot chat luong kem,1
10,hàng chuẩn ưng ý,0
11,hang chuan ung y,0
12,cửa hàng giao hàng không đúng 10 bộ cỡ 6 mà có 4 bộ nhỏ xíu không phải cỡ 6 như đã đặc mất uy tín quátin tưởng đặc thêm 2 đó vậy mà giao hàng kiểu vậy chia tay luôn,1
13,cua hang giao hang khong dung 10 bo co 6 ma co 4 bo nho xiu khong phai co 6 nhu da dac mat uy tin quatin tuong dac them 2 do vay ma giao hang kieu vay chia tay luon,1
14,gói hộp rất đẹp sản phẩm đẹp lắm nhưng mình không e để các bạn mua sau lưu ý mi này thích hợp bạn nào quen dán hơn vì chỗ dán keo dày nên ai không dán bg sẽ thấy cộm,0
15,goi hop rat dep san pham dep lam nhung minh khong e de cac ban mua sau luu y mi nay thich hop ban nao quen dan hon vi cho dan keo day nen ai khong dan bg se thay com,0
16,chất lượng sản phẩm tuyệt vời không thích người giao hàng bên cửa hàng e 1 tí nào cả nghĩ sao lại nói mình mua hàng dỏm không chất lượng ng bán nghĩ sao về điều này,0
17,chat luong san pham tuyet voi khong thich nguoi giao hang ben cua hang e 1 ti nao ca nghi sao lai noi minh mua hang dom khong chat luong ng ban nghi sao ve dieu nay,0
18,cỡ giày chưa chuẩn,1
19,co giay chua chuan,1
20,trả tiền 2 mà mới nhận được 1,1
21,tra tien 2 ma moi nhan duoc 1,1
22,giao hàng nhanh đóng gói đẹp sản phẩm tốt,0
23,giao hang nhanh dong goi dep san pham tot,0
24,tư vấn cỡ không đúng mặc quá ngắn cỡ mình mà như cỡ s đề nghị đổi thì cửa hàng bắt ra cửa hàng đổi trực tiếp nếu tiện vậy tôi còn mua online làm gì 1star nữa vì thái độ trả lời tin nhắn,1
25,tu van co khong dung mac qua ngan co minh ma nhu co s de nghi doi thi cua hang bat ra cua hang doi truc tiep neu tien vay toi con mua online lam gi 1star nua vi thai do tra loi tin nhan,1
26,đặt 15 cái phân loại bé trai riêng bé gái riêng rõ ràng nhưng cửa hàng giao 15 cái cùng 1 mẫu,1
27,dat 15 cai phan loai be trai rieng be gai rieng ro rang nhung cua hang giao 15 cai cung 1 mau,1
28,y hình nhưng son không lì mau trôi có mùi khó chịu,1
29,y hinh nhung son khong li mau troi co mui kho chiu,1
30,đã nhận được quà tặng cảm ơn cửa hàng thời gian giao hàng rất nhanh,0
31,da nhan duoc qua tang cam on cua hang thoi gian giao hang rat nhanh,0
32,sản phẩm được,0
33,san pham duoc,0
34,tuyệt vời cửa hàng ạ,0
35,tuyet voi cua hang a,0
36,tiền nào của ấy chất khá ok đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh,0
37,tien nao cua ay chat kha ok dong goi san pham rat dep va chac chan thoi gian giao hang rat nhanh,0
38,hết sảy nhâm nhi cả ngày không chán positive,0
39,het say nham nhi ca ngay khong chan positive,0
40,cửa hàng bán hàng dễ thương giao hàng nhanh sản phẩm ok lắm chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn,0
41,cua hang ban hang de thuong giao hang nhanh san pham ok lam chat luong san pham tuyet voi dong goi san pham rat dep va chac chan,0
42,êm lắm nheng cửa hàng ới,0
43,em lam nheng cua hang oi,0
44,giao hàng sai đặt vớ e bé mà ra vớ người lớn vớ mỏng,1
45,giao hang sai dat vo e be ma ra vo nguoi lon vo mong,1
46,giày kiểu dáng đẹp đóng gói sản phẩm rất đẹp và chắc chắn chất lượng tốt,0
47,giay kieu dang dep dong goi san pham rat dep va chac chan chat luong tot,0
48,không ngờ deal 9k được cái áo đẹp như vậy hàng đẹp hơn so với giá tiền cửa hàng tư vấn nhiệt tình đổi hàng chiều khách con mặc vừa in luôn 1 1star cho cửa hàng,0
49,khong ngo deal 9k duoc cai ao dep nhu vay hang dep hon so voi gia tien cua hang tu van nhiet tinh doi hang chieu khach con mac vua in luon 1 1star cho cua hang,0
50,balo rất đẹp đựng được rất nhiều rất hài lòng,0
51,balo rat dep dung duoc rat nhieu rat hai long,0
52,đóng gói sản phẩm rất đẹp và chắc chắn trân châu hơi vụn xí,0
53,dong goi san pham rat dep va chac chan tran chau hoi vun xi,0
54,chất lượng sản phẩm tuyệt vời đợi nhận hàng lâu nhưng chất lượng sản phẩm rất tốt sẽ ủng hộ cửa hàng dài dài,0
55,chat luong san pham tuyet voi doi nhan hang lau nhung chat luong san pham rat tot se ung ho cua hang dai dai,0
56,đóng gói sản phẩm rất đẹp và chắc chắn kem tẩy lông rất ok serum thì chưa sử dụng nên chưa biết ntn ạ,0
57,dong goi san pham rat dep va chac chan kem tay long rat ok serum thi chua su dung nen chua biet ntn a,0
58,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt khô gà mk thấy hơi nhạt không được đậm đà lắm,0
59,chat luong san pham tuyet voi dong goi san pham rat dep va chac chan cua hang phuc vu rat tot kho ga mk thay hoi nhat khong duoc dam da lam,0
60,chất lượng sản phẩm tuyệt vời rất thơm,0
61,chat luong san pham tuyet voi rat thom,0
62,sản phẩm ok nhưng giao hàng hơi chậm chút positive,0
63,san pham ok nhung giao hang hoi cham chut positive,0
64,hình chụp là da nhưng hàng nhận được là vải thô 99k cũng tạm ok nhưng bỏ đôi giày vô cái bọc mỏng rồi cột bằng cọng thung không có thiệ cảm mua 2 đôi trc thì giao nhầm mẫu nhắn tin x thì kêu đợi trả lời tn 2 ngày không thấy gì 10k không đág đừng đổi thừa nhiều đơn nên không kiểm soát được,1
65,hinh chup la da nhung hang nhan duoc la vai tho 99k cung tam ok nhung bo doi giay vo cai boc mong roi cot bang cong thung khong co thie cam mua 2 doi trc thi giao nham mau nhan tin x thi keu doi tra loi tn 2 ngay khong thay gi 10k khong dag dung doi thua nhieu don nen khong kiem soat duoc,1
66,nói chung không thấy đẹp hơn và thấy bất tiện hơn ở chỗ ai nhỡ mua loa xịn rồi giờ không đổi điện thoại để lỉnh kỉnh giắc chuyển đổi,1
67,noi chung khong thay dep hon va thay bat tien hon o cho ai nho mua loa xin roi gio khong doi dien thoai de linh kinh giac chuyen doi,1
68,đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền tuy nhiên dùng được 1 tuần thì hỏng không nghe được nữa,0
69,dong goi san pham rat dep va chac chan rat dang tien tuy nhien dung duoc 1 tuan thi hong khong nghe duoc nua,0
70,vớ mềm ok,0
71,vo mem ok,0
72,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời rất đáng tiền rất đáng tiền thời gian giao hàng rất nhanh se ung ho cửa hàng,0
73,chat luong san pham tuyet voi dong goi san pham rat dep va chac chan dong goi san pham rat dep va chac chan chat luong san pham tuyet voi rat dang tien rat dang tien thoi gian giao hang rat nhanh se ung ho cua hang,0
74,mua sản phẩm thích nhất là cửa hàng có tâm nhiệt tình và vui tính điều đặc biêt nữa là giày như hình đẹp ok ok ai mua thì lẹ lên,0
75,mua san pham thich nhat la cua hang co tam nhiet tinh va vui tinh dieu dac biet nua la giay nhu hinh dep ok ok ai mua thi le len,0
76,da heo chiên giòn t đặt 1 xanh 1 vàng mà giao 2 xanh nagative mà món này không ngon cho lắm,1
77,da heo chien gion t dat 1 xanh 1 vang ma giao 2 xanh nagative ma mon nay khong ngon cho lam,1
78,giá rẻ nhưng chất lượng rất tốt mình đã dùng cả 3 loại thấy thích dưa chuột nhất cả 3 đều thơm dùng sạch và mịn điểm trừ là dùng cho body nên nhanh hết 1 hũ dùng được tầm 7 9 lần thôi nha,0
79,gia re nhung chat luong rat tot minh da dung ca 3 loai thay thich dua chuot nhat ca 3 deu thom dung sach va min diem tru la dung cho body nen nhanh het 1 hu dung duoc tam 7 9 lan thoi nha,0
80,kích thước bi quá nhỏ nhỏ hơn trong hình nhiều nhưng 3m chắc đúng tại mình không đọc kĩ,1
81,kich thuoc bi qua nho nho hon trong hinh nhieu nhung 3m chac dung tai minh khong doc ki,1
82,phấn xài rất thích màu trắng no 20 tiệp da không bị quá trắng cover ổn,0
83,phan xai rat thich mau trang no 20 tiep da khong bi qua trang cover on,0
84,chất lượng sản phẩm tuyệt vời positive cửa hàng nói chuyện dễ thương lắm positive nhiệt tình,0
85,chat luong san pham tuyet voi positive cua hang noi chuyen de thuong lam positive nhiet tinh,0
86,đợi mòn mỏi dài cổ ms nhận được giày nhưng mà ưng cái bụng lắm nhé không uổng công chờ đợi positive positive positive positive positive positive positive,0
87,doi mon moi dai co ms nhan duoc giay nhung ma ung cai bung lam nhe khong uong cong cho doi positive positive positive positive positive positive positive,0
88,nhận hàng về đầy đủ chưa sử dụng nhưng nhìn mẫu mã đẹp dễ thương,0
89,nhan hang ve day du chua su dung nhung nhin mau ma dep de thuong,0
90,không được nha,1
91,khong duoc nha,1
92,bánh ngon cửa hàng giao hàng hơi lâu nhưng vẫn tặng cửa hàng 5star vì chất lượng,0
93,banh ngon cua hang giao hang hoi lau nhung van tang cua hang 5star vi chat luong,0
94,cỡ giày mình chọn là 37 nhưng hàng về chỉ tầm 3536 mình khoing mang được mình nhắn tin giao hàng nhưng cửa hàng không trả lời tn và mình không biết phải làm sao,1
95,co giay minh chon la 37 nhung hang ve chi tam 3536 minh khoing mang duoc minh nhan tin giao hang nhung cua hang khong tra loi tn va minh khong biet phai lam sao,1
96,chất lượng sách in quá kém so với những quyển đã từng mua trước đây nội dung viết còn sai chính tả,1
97,chat luong sach in qua kem so voi nhung quyen da tung mua truoc day noi dung viet con sai chinh ta,1
98,quá nhanh quá nguy hiểm nhanh gọn lẹ cám ơn cửa hàng,0
99,qua nhanh qua nguy hiem nhanh gon le cam on cua hang,0
100,chất lượng sản phẩm tuyệt vời hàng tốt chuẩn,0
101,chat luong san pham tuyet voi hang tot chuan,0
102,mình không mua trên tiki nhưng mình đến trực tiếp c ty mua 5 lần nấu đầu tiên sống cả 5 lần gọi điện báo cho bên bảo hành thì họ bảo phải mang nồi đến cho họ trong khi có chính sách bảo hành tại nhà bực qua nên đập luôn nồi hàng việt nam mà đắt ngang hàng sharp chất lượng lại quá tệ,1
103,minh khong mua tren tiki nhung minh den truc tiep c ty mua 5 lan nau dau tien song ca 5 lan goi dien bao cho ben bao hanh thi ho bao phai mang noi den cho ho trong khi co chinh sach bao hanh tai nha buc qua nen dap luon noi hang viet nam ma dat ngang hang sharp chat luong lai qua te,1
104,giòn rôm rốp sướng răng,0
105,gion rom rop suong rang,0
106,tuy cửa hàng hết hàng nên không giao món này cho mình được nhưng cửa hàng đã chuyển khoảng số tiền món hàng đó cho mình positive cảm ơn cửa hàng đánh giá 5star cho trách nhiệm,0
107,tuy cua hang het hang nen khong giao mon nay cho minh duoc nhung cua hang da chuyen khoang so tien mon hang do cho minh positive cam on cua hang danh gia 5star cho trach nhiem,0
108,sản phẩm rất tuyệt vời,0
109,san pham rat tuyet voi,0
110,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh thơm lâu mùi hương nam tính sẽ mua mẫu khác dùng tiếp,0
